code,year,total,GDP,perGDP,population,perCapita
110000,2019,88.155426789258,41610.9,0.00211856573131699,21893095,0.00000402663153790078
120000,2019,158.466534701371,16311.3,0.00971513826006332,13866009,0.0000114284171243053
130200,2019,413.884800658959,8900.7,0.046500252863141,7717983,0.000053626031653472
130400,2019,150.61998586399,4346.3,0.0346547605696776,9413990,0.0000159995905948476
140100,2019,79.4468458868464,5571.2,0.0142602753243191,5304061,0.0000149784940042821
140300,2019,19.7101129627047,1012.9,0.019459090692768,1318505,0.0000149488344471236
140400,2019,71.2494459856483,2804.8,0.0254026832521564,3180884,0.0000223992594466344
140700,2019,74.6436947830706,2112.3,0.0353376389637223,3379498,0.0000220872137764457
140800,2019,88.7261644684946,2301.1,0.0385581523916799,4774508,0.0000185833104622496
150100,2019,74.1922508804679,3329.1,0.0222859784567805,3446100,0.000021529337767467
150200,2019,133.812932584067,3749.9,0.0356844002730919,2709378,0.0000493888016305097
150400,2019,59.4134256438426,2148.4,0.0276547317277242,4035967,0.0000147209889584931
150500,2019,81.1468986193296,1561.8,0.0519572919831794,2873168,0.0000282430051494829
150600,2019,313.419879545123,5613.4,0.0558342322915031,2153638,0.000145530437123195
150700,2019,64.7328340945645,1536,0.0421437721969821,2242875,0.0000288615433738235
150900,2019,53.1739473964076,1017.9,0.0522388715948596,1706328,0.0000311627936694514
152200,2019,19.4204860251974,681.5,0.0284966779533344,1416929,0.0000137060403345527
152500,2019,72.949341475156,1148.7,0.0635059993689876,1107075,0.0000658937664342127
210100,2019,64.9375565495182,7695.8,0.00843805147606723,9070093,0.00000715952488574464
210200,2019,74.7845848516334,8430.9,0.00887029674787192,7450785,0.00001003714170408
220100,2019,57.2457230908199,6744.6,0.0084876379756872,9066906,0.00000631369985426339
220300,2019,24.6610392238463,581.7,0.042394772604171,1814733,0.0000135893485288725
230100,2019,68.5698535347591,5490.1,0.0124897276069214,10009854,0.00000685023513177706
230200,2019,30.3643773332192,1318,0.0230382225593469,4067489,0.00000746514061457061
230300,2019,14.7971893517605,664.7,0.0222614553208371,1502060,0.00000985126383217745
230700,2019,19.2603105553504,343.2,0.0561197860004383,878881,0.0000219145829245944
231000,2019,14.4012496602371,925.7,0.0155571455765767,2290208,0.00000628818415630243
310000,2019,192.912240324507,44652.8,0.00432027197229528,24870895,0.00000775654596766649
320100,2019,170.391189335684,16907.9,0.0100776080610652,9314685,0.0000182927484220544
320200,2019,91.2284598206078,14850.8,0.00614299969164003,7462135,0.000012225517203938
320400,2019,61.5387474066019,9550.1,0.00644378042183872,5278121,0.0000116592149756707
320500,2019,231.19357643689,23958.3,0.00964983226843683,12748262,0.000018135301614988
320600,2019,41.3367614703149,11379.6,0.00363253202839422,7726635,0.00000534990477359353
320700,2019,30.4046421303844,4005,0.00759167094391622,4599360,0.00000661062455002097
320900,2019,44.9949423970135,7079.8,0.00635539738368506,6709629,0.00000670602538486309
321000,2019,35.4804419409525,7105,0.00499372863349086,4559797,0.0000077811450687284
321100,2019,53.2856436140729,5017,0.0106210172641166,3210418,0.0000165977276523097
321200,2019,40.1170584527023,6401.8,0.0062665279222566,4512762,0.0000088896907155091
321300,2019,11.630784922576,4112,0.00282849827883658,4986192,0.0000023325986890549
330100,2019,44.6229523990847,18753.1,0.00237949738438363,11936010,0.00000373851499781625
330200,2019,127.631333971644,15704.3,0.00812715841977317,9404283,0.0000135716177375398
330300,2019,31.3015841166918,8029.8,0.00389817730412859,9572903,0.00000326981106114747
330400,2019,53.0922926311911,6739.5,0.00787777915738425,5400868,0.00000983032590894485
330500,2019,20.9446344486707,3850,0.00544016479186252,3367579,0.00000621949312805154
330600,2019,38.4718912302888,7350.6,0.00523384366314162,5270977,0.00000729881599375007
330800,2019,27.9957631178919,2003.4,0.0139741255455186,2276184,0.0000122994288325952
330900,2019,28.45571218941,1951.3,0.0145829509503459,1157817,0.0000245770378128927
331000,2019,38.3153629533453,6040.7,0.00634286803737071,6622888,0.00000578529532031121
331100,2019,7.4588702277275,1830.9,0.00407388182190589,2507396,0.00000297474759779767
340100,2019,39.7916491555031,12013.1,0.00331235477566182,9369881,0.00000424676142157014
340200,2019,37.274109569804,4502.1,0.00827927179978322,3644420,0.0000102277206166699
340300,2019,17.4500456037741,2012.3,0.00867169189672223,3296408,0.00000529365467010581
340500,2019,95.5040684618027,2521,0.037883406767871,2159930,0.0000442162794450758
340600,2019,60.6449818769033,1302.8,0.0465497251127597,1970265,0.0000307801142876229
340700,2019,15.4704143513362,1209.9,0.0127865231435128,1311726,0.000011793937416302
340800,2019,30.4272213939811,2767.5,0.0109944792751512,4165284,0.00000730495721155654
341000,2019,1.80439131682156,1002.3,0.00180025074011929,1330565,0.00000135610910915405
341100,2019,14.1105109365255,3610,0.0039087287912813,3987054,0.00000353908197293678
341200,2019,23.0663150084351,3233.3,0.0071339854045202,8200264,0.00000281287468408763
341300,2019,24.5181590086554,2224.6,0.0110213786787087,5324476,0.00000460480223944204
341500,2019,11.1448145588907,2004.6,0.00555962015309325,4393699,0.00000253654484726667
341600,2019,12.4338654947145,2101.5,0.00591666214357102,4996844,0.00000248834374151254
341700,2019,15.170234740495,1078.5,0.0140660498289244,1342764,0.0000112977669497357
341800,2019,18.5887643294953,1914.4,0.00970996883070168,2500063,0.0000074353183617754
350100,2019,60.1156114654178,12308.2,0.0048841919586469,8291268,0.00000725047260146672
350200,2019,15.2432931998068,7802.7,0.00195359211552498,5163970,0.00000295185549098984
350300,2019,16.4253195570766,3116.3,0.0052707760989239,3210714,0.00000511578407702354
