code,year,total,GDP,perGDP,population,perCapita
130400,2019,68.576524,4346.3,0.015778139,9413990,0.00000728453
610700,2019,12.72158261,1905.5,0.006676244,3211462,0.00000396131
330100,2019,29.53016238,18753.1,0.001574682,11936010,0.00000247404
340100,2019,52.8305839,12013.1,0.004397748,9369881,0.00000563834
653200,2019,8.211962634,490.6,0.016738611,2441231,0.00000336386
451200,2019,3.315361929,1135.5,0.002919737,3417945,0.000000969987
441600,2019,2.62990122,1294.6,0.002031439,2837686,0.000000926777
371700,2019,35.1507659,4205.3,0.008358682,8795939,0.00000399625
451100,2019,9.84725853,972.2,0.01012884,2007858,0.00000490436
410600,2019,0,1107,0,1565973,0
230400,2019,26.79351247,409.2,0.065477792,891271,0.0000300621
231100,2019,17.65238353,660.2,0.026737933,1286401,0.0000137223
131100,2019,23.7531833,1800.5,0.013192548,4212933,0.00000563816
430400,2019,11.73496061,4089.7,0.002869394,6645243,0.00000176592
532500,2019,25.80142139,2863.1,0.009011708,4478422,0.00000576128
150100,2019,72.499553,3329.1,0.021777523,3446100,0.0000210381
150700,2019,93.88390854,1536,0.061122336,2242875,0.0000418587
330500,2019,19.9060369,3850,0.005170399,3367579,0.00000591108
211400,2019,26.7530633,870.6,0.030729455,2434194,0.0000109905
431200,2019,9.225999938,1877.6,0.00491372,4587594,0.00000201108
320800,2019,30.0966217,4742.4,0.006346285,4556230,0.0000066056
340600,2019,0,1302.8,0,1970265,0
340400,2019,0,1541.1,0,3033528,0
421100,2019,22.43143512,2747.9,0.008163119,5882719,0.00000381311
632300,2019,0.072320204,110.9,0.000652121,276215,0.000000261826
341000,2019,0,1002.3,0,1330565,0
420200,2019,0,2041.5,0,2469079,0
441300,2019,25.2382322,5401.2,0.004672708,6042852,0.00000417654
230300,2019,24.91549517,664.7,0.03748382,1502060,0.0000165875
360800,2019,21.36663593,2750.3,0.007768838,4469176,0.00000478089
220200,2019,50.24216162,1517.9,0.033099784,3623713,0.0000138648
370100,2019,96.7219084,12027.5,0.00804173,9202432,0.0000105105
370800,2019,61.3998861,5316.9,0.011548061,8357897,0.00000734633
230800,2019,26.92679591,869.2,0.030978826,2156505,0.0000124863
